WAFER_ID,WAFER_SEQ,CHAMBER,STAGE,USAGE_OF_POLISHING_TABLE,USAGE_OF_DRESSER,PAD_GROOVE_DEPTH_UM,PRESS_DOWNFORCE_Z1,PRESS_DOWNFORCE_Z2,PRESS_DOWNFORCE_Z3,PRESS_RETAINING_RING,ROTATION_TABLE_RPM,ROTATION_HEAD_RPM,FLOW_RATE_SLURRY,CURRENT_TABLE_MOTOR,TEMP_PAD,CONDITIONER_DOWNFORCE,RemovalRate,IS_SYNTHETIC
W1_0001,1,Chamber 1,Stage A,1,4.1,1199.3,3.815,3.72,3.667,5.206,91.91,85.91,223.16,19.48,42.68,8.62,2568.4,True
W1_0002,2,Chamber 1,Stage A,2,4.2,1197.1,3.743,3.672,3.631,5.079,92.13,85.64,217.18,19.34,42.37,8.72,2529.6,True
W1_0003,3,Chamber 1,Stage A,3,4.3,1189.7,3.765,3.735,3.63,5.115,91.76,86.74,219.97,19.68,42.54,8.34,2537.5,True
W1_0004,4,Chamber 1,Stage B,4,4.4,1191.9,2.406,2.374,2.309,3.234,64.88,59.41,158.56,16.34,33.09,8.43,1143.4,True
W1_0005,5,Chamber 1,Stage A,5,4.5,1195.0,3.78,3.742,3.679,5.177,91.66,85.88,220.66,19.4,42.4,8.65,2550.9,True
W1_0006,6,Chamber 1,Stage A,6,4.6,1188.9,3.841,3.722,3.678,5.148,91.74,86.14,223.08,19.85,42.49,8.49,2584.0,True
W1_0007,7,Chamber 1,Stage A,7,4.7,1188.8,3.803,3.664,3.641,5.148,92.59,85.79,218.38,19.59,42.98,8.42,2566.9,True
W1_0008,8,Chamber 1,Stage B,8,4.8,1183.6,2.429,2.331,2.294,3.22,64.41,60.12,160.52,16.4,32.32,8.5,1128.8,True
W1_0009,9,Chamber 1,Stage A,9,4.9,1185.0,3.795,3.736,3.705,5.139,92.1,85.97,216.16,19.58,43.48,8.5,2586.7,True
W1_0010,10,Chamber 1,Stage A,10,5.0,1181.5,3.765,3.758,3.671,5.17,91.64,86.56,217.2,19.76,43.13,8.59,2574.8,True
W1_0011,11,Chamber 1,Stage A,11,5.1,1175.4,3.753,3.726,3.616,5.154,91.63,86.62,218.43,19.64,42.41,8.45,2570.6,True
W1_0012,12,Chamber 1,Stage B,12,5.2,1177.3,2.406,2.36,2.327,3.178,64.47,60.21,160.59,16.51,32.67,8.54,1145.0,True
W1_0013,13,Chamber 1,Stage A,13,5.3,1177.6,3.856,3.738,3.612,5.163,91.61,86.31,222.32,19.76,43.1,8.38,2600.0,True
W1_0014,14,Chamber 1,Stage A,14,5.4,1173.5,3.777,3.697,3.624,5.126,92.14,86.11,221.65,19.96,42.92,8.5,2560.5,True
W1_0015,15,Chamber 1,Stage A,15,5.5,1175.9,3.768,3.738,3.641,5.166,92.19,85.97,218.31,19.52,42.65,8.27,2541.3,True
W1_0016,16,Chamber 1,Stage B,16,5.6,1175.7,2.412,2.325,2.309,3.243,64.54,60.14,161.12,16.41,32.51,8.66,1139.9,True
W1_0017,17,Chamber 1,Stage A,17,5.7,1181.2,3.815,3.84,3.665,5.187,92.38,86.26,219.37,19.5,42.52,8.61,2606.2,True
W1_0018,18,Chamber 1,Stage A,18,5.8,1167.7,3.744,3.745,3.6,5.106,92.44,86.03,217.84,19.62,42.5,8.39,2549.4,True
W1_0019,19,Chamber 1,Stage A,19,5.9,1166.8,3.864,3.743,3.587,5.139,91.74,86.34,218.41,19.49,43.03,8.48,2561.6,True
W1_0020,20,Chamber 1,Stage B,20,6.0,1170.1,2.38,2.405,2.316,3.177,65.37,60.85,162.06,16.4,33.21,8.27,1160.8,True
W1_0021,21,Chamber 1,Stage A,21,6.1,1170.0,3.772,3.722,3.551,5.079,91.9,85.5,223.26,19.56,42.17,8.29,2501.4,True
W1_0022,22,Chamber 1,Stage A,22,6.2,1155.9,3.8,3.695,3.662,5.14,91.76,86.03,219.23,19.47,43.2,8.52,2584.3,True
W1_0023,23,Chamber 1,Stage A,23,6.3,1165.3,3.795,3.742,3.656,5.099,91.92,85.8,218.82,19.67,42.46,8.63,2563.4,True
W1_0024,24,Chamber 1,Stage B,24,6.4,1164.8,2.419,2.327,2.287,3.277,65.24,59.99,160.23,16.4,32.84,8.69,1129.7,True
W1_0025,25,Chamber 1,Stage A,25,6.5,1154.7,3.825,3.748,3.687,5.131,92.27,85.88,220.65,19.51,42.89,8.48,2610.7,True
W1_0026,26,Chamber 1,Stage A,26,6.6,1155.8,3.764,3.759,3.672,5.161,92.25,86.0,218.21,19.46,42.63,8.51,2551.9,True
W1_0027,27,Chamber 1,Stage A,27,6.7,1156.7,3.812,3.707,3.623,5.142,92.1,85.8,219.06,19.28,41.53,8.53,2543.5,True
W1_0028,28,Chamber 1,Stage B,28,6.8,1155.4,2.444,2.378,2.299,3.239,64.6,59.99,159.42,16.58,32.84,8.55,1137.9,True
W1_0029,29,Chamber 1,Stage A,29,6.9,1155.6,3.821,3.712,3.655,5.131,92.04,85.69,220.05,19.9,43.3,8.57,2542.4,True
W1_0030,30,Chamber 1,Stage A,30,7.0,1148.2,3.806,3.79,3.624,5.088,91.76,85.15,218.95,19.72,42.62,8.39,2562.5,True
W1_0031,31,Chamber 1,Stage A,31,7.1,1148.9,3.773,3.739,3.608,5.222,92.47,85.81,216.57,19.34,42.77,8.7,2535.4,True
W1_0032,32,Chamber 1,Stage B,32,7.2,1144.2,2.401,2.338,2.323,3.187,64.94,60.05,161.03,16.52,32.13,8.61,1137.6,True
W1_0033,33,Chamber 1,Stage A,33,7.3,1149.8,3.847,3.727,3.683,5.133,92.82,86.7,219.5,19.59,43.41,8.65,2602.4,True
W1_0034,34,Chamber 1,Stage A,34,7.4,1143.8,3.747,3.689,3.587,5.117,92.29,86.6,220.15,19.31,41.33,8.74,2533.6,True
W1_0035,35,Chamber 1,Stage A,35,7.5,1140.1,3.738,3.721,3.609,5.163,92.15,85.62,218.97,19.35,42.55,8.34,2530.1,True
W1_0036,36,Chamber 1,Stage B,36,7.6,1143.6,2.376,2.349,2.273,3.212,64.52,60.79,160.07,16.42,32.7,8.4,1132.6,True
W1_0037,37,Chamber 1,Stage A,37,7.7,1138.4,3.784,3.707,3.64,5.015,91.39,86.55,223.29,19.86,42.68,8.46,2554.1,True
W1_0038,38,Chamber 1,Stage A,38,7.8,1133.9,3.771,3.676,3.654,5.092,91.43,85.74,217.84,19.7,42.57,8.75,2519.7,True
W1_0039,39,Chamber 1,Stage A,39,7.9,1133.3,3.846,3.74,3.617,5.12,91.65,85.45,221.85,19.28,42.09,8.79,2532.9,True
W1_0040,40,Chamber 1,Stage B,40,8.0,1137.0,2.374,2.353,2.279,3.254,64.98,59.9,158.18,16.36,32.95,8.41,1121.3,True
W1_0041,41,Chamber 1,Stage A,41,8.1,1132.1,3.75,3.74,3.628,5.159,91.69,85.28,216.74,19.54,42.08,8.51,2492.2,True
